id,status,date,time
165,1,2021-07-10,13:07:30
166,0,2021-07-10,13:07:30
167,1,2021-07-10,13:07:30
168,0,2021-07-10,13:07:30
169,1,2021-07-10,13:07:30
170,0,2021-07-10,13:07:30
171,1,2021-07-10,13:07:31
172,0,2021-07-10,13:07:31
173,1,2021-07-10,13:07:31
174,0,2021-07-10,13:07:31
175,1,2021-07-10,13:07:31
176,0,2021-07-10,13:07:32
177,1,2021-07-10,13:07:32
178,0,2021-07-10,13:07:32
179,1,2021-07-10,13:07:32
180,0,2021-07-10,13:07:32
181,1,2021-07-10,13:07:32
182,0,2021-07-10,13:07:32
183,1,2021-07-10,13:07:33
184,0,2021-07-10,13:07:33
185,1,2021-07-10,13:07:33
186,0,2021-07-10,13:07:33
187,1,2021-07-10,13:07:33
188,0,2021-07-10,13:07:33
189,1,2021-07-10,13:07:34
190,0,2021-07-10,13:07:34
191,1,2021-07-10,13:07:34
192,0,2021-07-10,13:07:34
193,1,2021-07-10,13:07:34
194,0,2021-07-10,13:07:34
195,1,2021-07-10,13:07:35
196,0,2021-07-10,13:07:35
197,1,2021-07-10,13:07:35
198,0,2021-07-10,13:07:35
199,1,2021-07-10,13:07:35
200,0,2021-07-10,13:07:35
201,1,2021-07-10,13:07:35
202,0,2021-07-10,13:07:35
203,1,2021-07-10,13:07:36
204,0,2021-07-10,13:07:36
205,1,2021-07-10,13:07:36
206,0,2021-07-10,13:07:36
207,1,2021-07-10,13:07:36
208,0,2021-07-10,13:07:37
209,1,2021-07-10,13:07:37
210,0,2021-07-10,13:07:37
211,1,2021-07-10,13:07:37
212,0,2021-07-10,13:07:37
213,1,2021-07-10,13:07:37
214,0,2021-07-10,13:07:37
215,1,2021-07-10,13:07:38
216,0,2021-07-10,13:07:38
217,1,2021-07-10,13:07:38
218,0,2021-07-10,13:07:38
219,1,2021-07-10,13:07:38
220,0,2021-07-10,13:07:38
221,1,2021-07-10,13:07:38
222,0,2021-07-10,13:07:39
223,1,2021-07-10,13:07:39
224,0,2021-07-10,13:07:39
225,1,2021-07-10,13:07:39
226,0,2021-07-10,13:07:39
227,1,2021-07-10,13:07:39
228,0,2021-07-10,13:07:40
229,1,2021-07-10,13:07:40
230,0,2021-07-10,13:07:40
231,1,2021-07-10,13:07:40
232,0,2021-07-10,13:07:40
233,1,2021-07-10,13:07:40
234,0,2021-07-10,13:07:40
235,1,2021-07-10,13:07:41
236,0,2021-07-10,13:07:41
237,1,2021-07-10,13:07:41
238,0,2021-07-10,13:07:41
239,1,2021-07-10,13:07:42
240,0,2021-07-10,13:07:42
241,1,2021-07-10,13:07:42
242,0,2021-07-10,13:07:42
243,1,2021-07-10,13:07:42
244,0,2021-07-10,13:07:42
245,1,2021-07-10,13:07:42
246,0,2021-07-10,13:07:43
247,1,2021-07-10,13:07:43
248,0,2021-07-10,13:07:43
249,1,2021-07-10,13:07:43
250,0,2021-07-10,13:07:43
251,1,2021-07-10,13:07:43
252,0,2021-07-10,13:07:43
253,1,2021-07-10,13:07:43
254,0,2021-07-10,13:07:43
255,1,2021-07-10,13:07:44
256,0,2021-07-10,13:07:44
257,1,2021-07-10,13:07:44
258,0,2021-07-10,13:07:44
259,1,2021-07-10,13:07:45
260,0,2021-07-10,13:07:45
261,1,2021-07-10,13:07:45
262,0,2021-07-10,13:07:45
263,1,2021-07-10,13:07:45
264,0,2021-07-10,13:07:45
265,1,2021-07-10,13:07:45
266,0,2021-07-10,13:07:46
267,1,2021-07-10,13:07:46
268,0,2021-07-10,13:07:46
269,1,2021-07-10,13:07:46
270,0,2021-07-10,13:07:46
271,1,2021-07-10,13:07:46
272,0,2021-07-10,13:07:47
273,1,2021-07-10,13:07:47
274,0,2021-07-10,13:07:47
275,1,2021-07-10,13:07:47
276,0,2021-07-10,13:07:47
277,1,2021-07-10,13:07:47
278,0,2021-07-10,13:07:48
279,1,2021-07-10,13:07:48
280,0,2021-07-10,13:07:48
281,1,2021-07-10,13:07:48
282,0,2021-07-10,13:07:48
283,1,2021-07-10,13:07:48
284,0,2021-07-10,13:07:49
285,1,2021-07-10,13:07:49
286,0,2021-07-10,13:07:49
287,1,2021-07-10,13:07:49
288,0,2021-07-10,13:07:49
289,1,2021-07-10,13:07:50
290,0,2021-07-10,13:07:50
291,1,2021-07-10,13:07:50
292,0,2021-07-10,13:07:50
293,1,2021-07-10,13:07:50
294,0,2021-07-10,13:07:50
295,1,2021-07-10,13:07:50
296,0,2021-07-10,13:07:50
297,1,2021-07-10,13:07:51
298,0,2021-07-10,13:07:51
299,1,2021-07-10,13:07:51
300,0,2021-07-10,13:07:51
301,1,2021-07-10,13:07:51
302,0,2021-07-10,13:07:51
303,1,2021-07-10,13:07:51
304,0,2021-07-10,13:07:51
305,1,2021-07-10,13:07:52
306,0,2021-07-10,13:07:52
307,1,2021-07-10,13:07:52
308,0,2021-07-10,13:07:52
309,1,2021-07-10,13:07:52
310,0,2021-07-10,13:07:53
311,1,2021-07-10,13:07:53
312,0,2021-07-10,13:07:53
313,1,2021-07-10,13:07:53
314,0,2021-07-10,13:07:53
315,1,2021-07-10,13:07:53
316,0,2021-07-10,13:07:53
317,1,2021-07-10,13:07:53
318,0,2021-07-10,13:07:53
319,1,2021-07-10,13:07:54
320,0,2021-07-10,13:07:54
